simulation-fully-lowered,stage,mean,median,stddev
NTT 32,interpreter,0.03,0.03,0.0
NTT 64,interpreter,0.063,0.063,0.001
TCAM 32,interpreter,0.356,0.355,0.006
TCAM 64,interpreter,0.694,0.694,0.003
Linear Algebra 2MM,interpreter,0.261,0.261,0.002
Linear Algebra 3MM,interpreter,0.285,0.285,0.002
Linear Algebra ATAX,interpreter,0.042,0.042,0.001
Linear Algebra BICG,interpreter,0.026,0.026,0.0
Linear Algebra DOITGEN,interpreter,0.766,0.766,0.004
Linear Algebra DURBIN,interpreter,0.022,0.022,0.001
Linear Algebra GEMM,interpreter,0.141,0.141,0.002
Linear Algebra GEMVER,interpreter,0.076,0.076,0.001
Linear Algebra GESUMMV,interpreter,0.058,0.058,0.0
Linear Algebra LU,interpreter,0.04,0.04,0.001
Linear Algebra LUDCMP,interpreter,0.051,0.05,0.001
Linear Algebra MVT,interpreter,0.037,0.037,0.001
Linear Algebra SYMM,interpreter,0.159,0.159,0.002
Linear Algebra SYR2K,interpreter,0.256,0.255,0.002
Linear Algebra SYRK,interpreter,0.174,0.174,0.001
Linear Algebra TRISOLV,interpreter,0.012,0.012,0.0
Linear Algebra TRMM,interpreter,0.082,0.082,0.001
Linear Algebra Cholesky,interpreter,0.028,0.028,0.0
Linear Algebra Gramschmidt,interpreter,0.258,0.258,0.002
