simulation,stage,mean,median,stddev
NTT 32,interpreter,0.033,0.033,0.001
NTT 64,interpreter,0.066,0.066,0.003
TCAM 32,interpreter,0.363,0.356,0.014
TCAM 64,interpreter,0.697,0.696,0.006
Linear Algebra 2MM,interpreter,0.261,0.26,0.003
Linear Algebra 3MM,interpreter,0.284,0.283,0.003
Linear Algebra ATAX,interpreter,0.041,0.041,0.001
Linear Algebra BICG,interpreter,0.026,0.026,0.0
Linear Algebra DOITGEN,interpreter,0.757,0.756,0.007
Linear Algebra DURBIN,interpreter,0.024,0.024,0.002
Linear Algebra GEMM,interpreter,0.14,0.14,0.002
Linear Algebra GEMVER,interpreter,0.076,0.075,0.002
Linear Algebra GESUMMV,interpreter,0.058,0.058,0.002
Linear Algebra LU,interpreter,0.041,0.04,0.001
Linear Algebra LUDCMP,interpreter,0.051,0.051,0.001
Linear Algebra MVT,interpreter,0.037,0.037,0.0
Linear Algebra SYMM,interpreter,0.158,0.159,0.002
Linear Algebra SYR2K,interpreter,0.253,0.252,0.002
Linear Algebra SYRK,interpreter,0.172,0.171,0.002
Linear Algebra TRISOLV,interpreter,0.012,0.012,0.0
Linear Algebra TRMM,interpreter,0.081,0.081,0.001
Linear Algebra Cholesky,interpreter,0.028,0.028,0.0
Linear Algebra Gramschmidt,interpreter,0.258,0.258,0.003
